rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
3,"(25, 20, 10)",9,139,40,34,16,8,15.3,0.25,8.41,128.67,-0.18
4,"(25, 20, 10)",9,139,40,34,16,8,12.18,0.23,9.51,115.83,-0.16
5,"(25, 20, 10)",9,139,40,34,16,8,11.65,0.23,9.83,114.52,-0.17
6,"(25, 20, 10)",9,139,40,34,16,8,8.86,0.21,9.91,87.8,-0.21
1,"(25, 20, 10)",9,139,40,34,16,8,11.95,0.22,5.06,60.47,-0.24
7,"(25, 20, 10)",9,139,40,34,16,8,6.0,0.17,9.79,58.74,-0.26
2,"(25, 20, 10)",9,139,40,34,16,8,7.59,0.18,5.81,44.1,-0.25
