rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
1,"(25, 20, 8)",9,139,80,16,16,9,39.16,0.62,6.84,267.85,-0.38
1,"(25, 20, 8)",9,139,80,34,16,9,36.3,0.6,6.59,239.22,-0.39
1,"(25, 20, 8)",9,139,80,16,10,9,35.28,0.6,6.62,233.55,-0.39
1,"(25, 20, 8)",9,139,80,16,9,9,35.18,0.6,6.61,232.54,-0.39
1,"(25, 20, 8)",9,139,80,16,16,8,34.9,0.59,6.6,230.34,-0.41
1,"(25, 20, 8)",9,139,80,16,15,9,34.86,0.59,6.58,229.38,-0.4
1,"(25, 20, 8)",9,139,80,16,16,7,34.22,0.59,6.57,224.83,-0.43
1,"(25, 20, 8)",9,139,80,16,16,10,34.29,0.59,6.5,222.88,-0.4
1,"(25, 20, 8)",9,139,80,28,16,9,30.82,0.57,6.58,202.8,-0.4
1,"(25, 20, 8)",9,139,80,33,16,9,31.89,0.58,6.29,200.59,-0.39
1,"(25, 20, 8)",9,139,80,23,16,9,30.13,0.56,6.52,196.45,-0.38
1,"(25, 20, 8)",9,139,80,16,11,9,30.54,0.57,6.4,195.46,-0.39
1,"(25, 20, 8)",9,139,80,29,16,9,30.14,0.57,6.48,195.31,-0.41
1,"(25, 20, 8)",9,139,80,16,13,9,30.33,0.57,6.43,195.02,-0.38
1,"(25, 20, 8)",9,139,80,27,16,9,28.74,0.56,6.61,189.97,-0.38
1,"(25, 20, 8)",9,139,80,17,16,9,29.93,0.56,6.32,189.16,-0.38
1,"(25, 20, 8)",9,139,80,19,16,9,29.67,0.56,6.36,188.7,-0.38
1,"(25, 20, 8)",9,139,80,37,16,9,30.35,0.57,6.2,188.17,-0.41
1,"(25, 20, 8)",9,139,80,22,16,9,28.8,0.56,6.4,184.32,-0.39
1,"(25, 20, 8)",9,139,80,31,16,9,28.33,0.55,6.34,179.61,-0.41
1,"(25, 20, 8)",9,139,80,25,16,9,27.64,0.55,6.29,173.86,-0.4
1,"(25, 20, 8)",9,139,80,21,16,9,27.01,0.54,6.28,169.62,-0.39
1,"(25, 20, 8)",9,139,80,16,16,6,25.65,0.53,6.21,159.29,-0.38
1,"(25, 20, 8)",9,139,80,16,16,4,23.54,0.52,6.52,153.48,-0.36
1,"(25, 20, 8)",9,139,80,41,16,9,23.78,0.52,6.18,146.96,-0.41
1,"(25, 20, 8)",9,139,80,25,16,5,22.53,0.51,6.49,146.22,-0.42
1,"(25, 20, 8)",9,139,80,19,16,5,22.14,0.51,6.22,137.71,-0.4
1,"(25, 20, 8)",9,139,80,16,16,5,21.46,0.5,6.35,136.27,-0.4
1,"(25, 20, 8)",9,139,80,16,16,13,22.55,0.51,5.84,131.69,-0.45
1,"(25, 20, 8)",9,139,80,16,16,14,22.37,0.51,5.83,130.42,-0.45
1,"(25, 20, 8)",9,139,80,16,7,5,20.25,0.49,6.2,125.55,-0.4
1,"(25, 20, 8)",9,139,80,31,16,5,18.89,0.48,6.24,117.87,-0.43
1,"(25, 20, 8)",9,139,80,16,16,15,20.86,0.49,5.59,116.61,-0.45
1,"(25, 20, 8)",9,139,80,16,16,11,19.08,0.48,5.81,110.85,-0.42
1,"(25, 20, 8)",9,139,80,16,13,5,17.95,0.47,5.98,107.34,-0.41
1,"(25, 20, 8)",9,139,80,16,16,16,18.33,0.47,5.45,99.9,-0.45
1,"(25, 20, 8)",9,139,80,16,16,1,16.32,0.45,5.88,95.96,-0.34
1,"(25, 20, 8)",9,139,80,37,16,5,16.46,0.45,5.79,95.3,-0.45
1,"(25, 20, 8)",9,139,80,16,16,3,15.63,0.44,5.96,93.15,-0.34
1,"(25, 20, 8)",9,139,80,16,16,12,16.0,0.45,5.46,87.36,-0.46
1,"(25, 20, 8)",9,139,80,43,16,5,14.89,0.43,5.79,86.21,-0.45
1,"(25, 20, 8)",9,139,80,16,16,2,13.88,0.42,5.47,75.92,-0.33
1,"(25, 20, 8)",9,139,80,55,16,5,10.65,0.38,5.47,58.26,-0.42
1,"(25, 20, 8)",9,139,80,49,16,5,10.65,0.38,5.29,56.34,-0.45
