top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 5)",7,139,80,16,9,3,63.26,0.38,7.05,445.98,-0.24
"(30, 20, 5)",9,139,80,16,9,3,62.96,0.38,7.04,443.24,-0.24
"(30, 20, 5)",8,139,80,16,9,3,62.79,0.38,7.04,442.04,-0.24
"(30, 20, 5)",9,137,80,16,9,3,62.79,0.38,7.04,442.04,-0.24
"(30, 20, 5)",9,142,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",9,145,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",9,140,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",9,141,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",11,139,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",10,139,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",9,143,80,16,9,3,61.72,0.38,7.01,432.66,-0.24
"(30, 20, 5)",9,139,80,12,9,3,61.19,0.38,7.07,432.61,-0.27
"(30, 20, 5)",9,139,80,19,9,3,58.98,0.38,7.02,414.04,-0.25
"(30, 20, 5)",9,139,80,16,10,3,58.03,0.37,7.05,409.11,-0.16
"(30, 20, 5)",5,139,80,16,9,3,58.23,0.37,6.93,403.53,-0.24
"(30, 20, 5)",9,122,80,16,9,3,55.19,0.37,7.21,397.92,-0.24
"(30, 20, 5)",9,139,80,23,9,3,55.73,0.37,7.13,397.35,-0.25
"(30, 20, 5)",9,139,80,16,14,3,57.89,0.37,6.75,390.76,-0.24
"(30, 20, 5)",9,139,80,16,9,2,55.26,0.37,7.05,389.58,-0.23
"(30, 20, 5)",9,139,80,13,9,3,56.49,0.37,6.89,389.22,-0.27
"(30, 20, 5)",9,139,80,21,9,3,56.14,0.37,6.89,386.8,-0.25
"(30, 20, 5)",6,139,80,16,9,3,54.04,0.37,6.82,368.55,-0.24
"(30, 20, 5)",9,169,80,16,9,3,54.16,0.37,6.79,367.75,-0.24
"(30, 20, 5)",9,167,80,16,9,3,54.16,0.37,6.79,367.75,-0.24
"(30, 20, 5)",9,173,80,16,9,3,54.16,0.37,6.79,367.75,-0.24
"(30, 20, 5)",9,176,80,16,9,3,54.16,0.37,6.79,367.75,-0.24
"(30, 20, 5)",9,172,80,16,9,3,54.16,0.37,6.79,367.75,-0.24
"(30, 20, 5)",9,119,80,16,9,3,51.66,0.36,7.11,367.3,-0.24
"(30, 20, 5)",9,121,80,16,9,3,51.66,0.36,7.11,367.3,-0.24
"(30, 20, 5)",9,139,80,14,9,3,53.27,0.36,6.82,363.3,-0.26
"(30, 20, 5)",9,185,80,16,9,3,53.65,0.37,6.77,363.21,-0.24
"(30, 20, 5)",9,179,80,16,9,3,53.65,0.37,6.77,363.21,-0.24
"(30, 20, 5)",9,187,80,16,9,3,53.65,0.37,6.77,363.21,-0.24
"(30, 20, 5)",9,139,80,15,9,3,53.86,0.37,6.73,362.48,-0.26
"(30, 20, 5)",9,157,80,16,9,3,53.41,0.36,6.76,361.05,-0.24
"(30, 20, 5)",9,158,80,16,9,3,53.41,0.36,6.76,361.05,-0.24
"(30, 20, 5)",9,161,80,16,9,3,53.41,0.36,6.76,361.05,-0.24
"(30, 20, 5)",9,149,80,16,9,3,53.41,0.36,6.76,361.05,-0.24
"(30, 20, 5)",9,155,80,16,9,3,53.41,0.36,6.76,361.05,-0.24
"(30, 20, 5)",9,112,80,16,9,3,50.95,0.36,7.08,360.73,-0.24
"(30, 20, 5)",9,113,80,16,9,3,50.95,0.36,7.08,360.73,-0.24
"(30, 20, 5)",9,139,80,10,9,3,52.42,0.36,6.85,359.08,-0.24
"(30, 20, 5)",1,139,80,16,9,3,52.92,0.36,6.75,357.21,-0.24
"(30, 20, 5)",9,139,80,16,12,3,53.22,0.36,6.6,351.25,-0.27
"(30, 20, 5)",9,139,80,20,9,3,50.88,0.36,6.78,344.97,-0.25
"(30, 20, 5)",9,203,80,16,9,3,51.34,0.36,6.7,343.98,-0.24
"(30, 20, 5)",9,193,80,16,9,3,51.34,0.36,6.7,343.98,-0.24
"(30, 20, 5)",9,202,80,16,9,3,51.34,0.36,6.7,343.98,-0.24
"(30, 20, 5)",9,194,80,16,9,3,51.34,0.36,6.7,343.98,-0.24
"(30, 20, 5)",9,139,80,18,9,3,49.96,0.36,6.83,341.23,-0.25
"(30, 20, 5)",9,139,80,31,9,3,48.92,0.36,6.97,340.97,-0.25
"(30, 20, 5)",9,139,80,9,9,3,50.9,0.36,6.67,339.5,-0.27
"(30, 20, 5)",9,211,80,16,9,3,50.74,0.36,6.68,338.94,-0.24
"(30, 20, 5)",9,217,80,16,9,3,50.74,0.36,6.68,338.94,-0.24
"(30, 20, 5)",9,139,80,22,9,3,49.03,0.36,6.87,336.84,-0.25
"(30, 20, 5)",9,139,80,16,9,7,51.68,0.36,6.45,333.34,-0.31
"(30, 20, 5)",9,139,80,16,8,3,50.01,0.36,6.65,332.57,-0.24
"(30, 20, 5)",9,241,80,16,9,3,49.65,0.36,6.64,329.68,-0.24
"(30, 20, 5)",9,232,80,16,9,3,49.65,0.36,6.64,329.68,-0.24
"(30, 20, 5)",9,246,80,16,9,3,49.65,0.36,6.64,329.68,-0.24
"(30, 20, 5)",9,139,80,25,9,3,47.73,0.35,6.83,326.0,-0.25
"(30, 20, 5)",9,139,80,17,9,3,49.0,0.36,6.64,325.36,-0.26
"(30, 20, 5)",9,139,80,24,9,3,47.41,0.35,6.85,324.76,-0.25
"(30, 20, 5)",9,125,80,16,9,3,46.73,0.35,6.88,321.5,-0.24
"(30, 20, 5)",9,131,80,16,9,3,46.73,0.35,6.88,321.5,-0.24
"(30, 20, 5)",9,127,80,16,9,3,46.73,0.35,6.88,321.5,-0.24
"(30, 20, 5)",4,139,80,16,9,3,48.34,0.35,6.62,320.01,-0.24
"(30, 20, 5)",12,139,80,16,9,3,46.45,0.35,6.87,319.11,-0.24
"(30, 20, 5)",9,139,80,27,9,3,46.4,0.35,6.82,316.45,-0.25
"(30, 20, 5)",3,139,80,16,9,3,47.18,0.35,6.57,309.97,-0.24
"(30, 20, 5)",9,139,80,16,11,3,46.24,0.35,6.5,300.56,-0.24
"(30, 20, 5)",9,139,80,11,9,3,44.92,0.35,6.64,298.27,-0.27
"(30, 20, 5)",9,265,80,16,9,3,45.47,0.35,6.51,296.01,-0.24
"(30, 20, 5)",9,139,80,33,9,3,43.58,0.34,6.71,292.42,-0.25
"(30, 20, 5)",13,139,80,16,9,3,42.6,0.34,6.73,286.7,-0.24
"(30, 20, 5)",9,139,80,16,7,3,44.23,0.35,6.44,284.84,-0.25
"(30, 20, 5)",9,139,80,16,16,3,44.12,0.35,6.35,280.16,-0.24
"(30, 20, 5)",9,139,80,16,6,3,43.24,0.34,6.47,279.76,-0.24
"(30, 20, 5)",9,139,80,16,9,6,42.49,0.34,6.57,279.16,-0.28
"(30, 20, 5)",9,101,80,16,9,3,41.16,0.34,6.76,278.24,-0.29
"(30, 20, 5)",9,107,80,16,9,3,41.16,0.34,6.76,278.24,-0.29
"(30, 20, 5)",9,104,80,16,9,3,41.16,0.34,6.76,278.24,-0.29
"(30, 20, 5)",9,106,80,16,9,3,41.16,0.34,6.76,278.24,-0.29
"(30, 20, 5)",9,281,80,16,9,3,43.21,0.34,6.43,277.84,-0.24
"(30, 20, 5)",9,139,80,16,13,3,42.78,0.34,6.39,273.36,-0.24
"(30, 20, 5)",9,36,80,16,9,3,40.46,0.34,6.74,272.7,-0.23
"(30, 20, 5)",9,139,80,16,15,3,42.24,0.34,6.26,264.42,-0.24
"(30, 20, 5)",15,139,80,16,9,3,39.62,0.33,6.58,260.7,-0.29
"(30, 20, 5)",17,139,80,16,9,3,39.62,0.33,6.58,260.7,-0.29
"(30, 20, 5)",16,139,80,16,9,3,39.62,0.33,6.58,260.7,-0.29
"(30, 20, 5)",14,139,80,16,9,3,39.62,0.33,6.58,260.7,-0.29
"(30, 20, 5)",9,139,80,28,9,3,39.88,0.33,6.53,260.42,-0.25
"(30, 20, 5)",9,139,80,16,9,1,39.7,0.33,6.52,258.84,-0.21
"(30, 20, 5)",9,97,80,16,9,3,38.06,0.33,6.64,252.72,-0.29
"(30, 20, 5)",9,139,80,37,9,3,38.7,0.33,6.53,252.71,-0.25
"(30, 20, 5)",19,139,80,16,9,3,37.69,0.33,6.5,244.98,-0.29
"(30, 20, 5)",9,139,80,16,4,3,39.08,0.33,6.26,244.64,-0.24
"(30, 20, 5)",9,139,80,16,3,3,39.07,0.33,6.24,243.8,-0.24
"(30, 20, 5)",9,139,80,29,9,3,36.59,0.33,6.6,241.49,-0.26
"(30, 20, 5)",9,316,80,16,9,3,37.61,0.33,6.2,233.18,-0.24
"(30, 20, 5)",9,139,80,16,5,3,37.34,0.33,6.22,232.25,-0.24
"(30, 20, 5)",9,37,80,16,9,3,34.89,0.32,6.46,225.39,-0.28
"(30, 20, 5)",9,77,80,16,9,3,35.73,0.32,6.15,219.74,-0.34
"(30, 20, 5)",9,86,80,16,9,3,33.63,0.32,6.46,217.25,-0.29
"(30, 20, 5)",9,95,80,16,9,3,33.63,0.32,6.46,217.25,-0.29
"(30, 20, 5)",9,89,80,16,9,3,33.63,0.32,6.46,217.25,-0.29
"(30, 20, 5)",22,139,80,16,9,3,34.12,0.32,6.33,215.98,-0.29
"(30, 20, 5)",9,49,80,16,9,3,33.59,0.32,6.34,212.96,-0.28
"(30, 20, 5)",9,73,80,16,9,3,32.32,0.31,6.02,194.57,-0.34
"(30, 20, 5)",9,68,80,16,9,3,32.41,0.31,5.99,194.14,-0.39
"(30, 20, 5)",9,82,80,16,9,3,30.68,0.31,6.26,192.06,-0.29
"(30, 20, 5)",9,71,80,16,9,3,31.44,0.31,5.97,187.7,-0.36
"(30, 20, 5)",9,52,80,16,9,3,30.2,0.31,6.04,182.41,-0.39
"(30, 20, 5)",9,67,80,16,9,3,30.31,0.31,5.89,178.53,-0.39
"(30, 20, 5)",9,139,80,16,9,5,28.6,0.3,5.92,169.31,-0.25
"(30, 20, 5)",9,139,80,16,9,4,28.13,0.3,6.01,169.06,-0.24
"(30, 20, 5)",9,25,80,16,9,3,27.1,0.3,6.08,164.77,-0.33
